locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJICCACA_01089	CDS	147				hypothetical protein
IJICCACA_01090	CDS	1194				dehydrogenase
IJICCACA_01091	CDS	1809				oxidoreductase
IJICCACA_01092	CDS	3075				membrane protein
IJICCACA_01093	CDS	2367				transferase
IJICCACA_01094	CDS	1041	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
IJICCACA_01095	CDS	1077	ligC			DNA ligase C
IJICCACA_01096	CDS	1059				hypothetical protein
IJICCACA_01097	CDS	501				hypothetical protein
IJICCACA_01098	CDS	1353	tgs2			diacyglycerol O-acyltransferase
IJICCACA_01099	CDS	489				hypothetical protein
IJICCACA_01100	CDS	1062				AraC/XylS family transcriptional regulator
IJICCACA_01101	CDS	1560				transmembrane protein
IJICCACA_01102	CDS	948	PPE66			PPE family protein PPE66
IJICCACA_01103	CDS	234	PPE67			PPE family protein PPE67
IJICCACA_01104	CDS	1356				diacyglycerol O-acyltransferase
IJICCACA_01105	CDS	675				oxidoreductase
IJICCACA_01106	CDS	396				oxidoreductase
IJICCACA_01107	CDS	1983	ctpJ			cation transporter ATPase J
IJICCACA_01108	CDS	363	nmtR			HTH-type transcriptional regulator NmtR
IJICCACA_01109	CDS	213				hypothetical protein
IJICCACA_01110	CDS	336	PE34			PE family protein PE34
IJICCACA_01111	CDS	384				hypothetical protein
IJICCACA_01112	CDS	360				hypothetical protein
IJICCACA_01113	CDS	291		3.1.-.-		Putative ribonuclease VapC50
IJICCACA_01114	CDS	309				hypothetical protein
IJICCACA_01115	CDS	393				excisionase
IJICCACA_01116	CDS	216				hypothetical protein
IJICCACA_01117	tRNA	90				tRNA-Ser(cga)
IJICCACA_01118	CDS	459				cytidine/deoxycytidylate deaminase
IJICCACA_01119	CDS	522				hypothetical protein
IJICCACA_01120	CDS	945	tyrA			prephenate dehydrogenase TyrA
IJICCACA_01121	CDS	522				hypothetical protein
IJICCACA_01122	CDS	720	proZ			glycine betaine/carnitine/choline/L-proline ABC transporter permease ProZ
IJICCACA_01123	CDS	690	proW			glycine betaine/carnitine/choline/L-proline ABC transporter permease ProW
IJICCACA_01124	CDS	1131	proV			glycine betaine/carnitine/choline/L-proline ABC transporter ATP-binding protein ProV
IJICCACA_01125	CDS	1032	proX			glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding lipoprotein ProX
IJICCACA_01126	CDS	354				membrane protein
IJICCACA_01127	CDS	1056	fadE36			acyl-CoA dehydrogenase FadE36
IJICCACA_01128	CDS	1875				hydrolase
IJICCACA_01129	CDS	480	lpqH			lipoprotein LpqH
IJICCACA_01130	CDS	1437	tcrY			two component sensor kinase TcrY
IJICCACA_01131	CDS	705	tcrX			two component transcriptional regulator TcrX
IJICCACA_01132	CDS	825				putative protein
IJICCACA_01133	CDS	945				S-adenosylmethionine-dependent methyltransferase
IJICCACA_01134	CDS	360				hypothetical protein
IJICCACA_01135	CDS	273				hypothetical protein
IJICCACA_01136	CDS	576				hypothetical protein
IJICCACA_01137	CDS	183				hypothetical protein
IJICCACA_01138	CDS	192				transposase
IJICCACA_01139	CDS	327				hypothetical protein
IJICCACA_01140	tRNA	74				tRNA-Arg(acg)
IJICCACA_01141	tRNA	90				tRNA-Ser(gct)
IJICCACA_01142	CDS	1062	hisC2			histidinol-phosphate aminotransferase
IJICCACA_01143	CDS	498				transcriptional regulator
IJICCACA_01144	CDS	885	echA21			enoyl-CoA hydratase EchA21
IJICCACA_01145	CDS	1248	lipE			lipase LipE
IJICCACA_01146	tRNA	88				tRNA-Ser(tga)
IJICCACA_01147	CDS	978				oxidoreductase
IJICCACA_01148	CDS	1197				aminotransferase
IJICCACA_01149	CDS	2001				transmembrane protein
IJICCACA_01150	CDS	525	bpa			Bacterial proteasome activator
IJICCACA_01151	CDS	822	rfbE			O-antigen/lipopolysaccharide ABC transporter ATP-binding protein RfbE
IJICCACA_01152	CDS	915	glfT1			galactofuranosyl transferase GlfT
IJICCACA_01153	CDS	843	rfbD			O-antigen/lipopolysaccharide ABC transporter permease RfbD
IJICCACA_01154	CDS	981				dTDP-glucose 4,6-dehydratase
IJICCACA_01155	CDS	1074				hypothetical protein
IJICCACA_01156	CDS	1224			COG0739	putative protein
IJICCACA_01157	CDS	927				S-adenosyl-L-methionine-dependent methyltransferase
IJICCACA_01158	CDS	486			COG0782	putative protein
IJICCACA_01159	CDS	429				GtrA family protein
IJICCACA_01160	CDS	1386	dprE1			decaprenylphosphoryl-beta-D-ribose oxidase
IJICCACA_01161	CDS	765	dprE2			decaprenylphosphoryl-D-2-keto erythropentose reductase
IJICCACA_01162	CDS	1893	aftA			arabinofuranosyltransferase
IJICCACA_01163	CDS	3285	embC			arabinosyltransferase C
IJICCACA_01164	CDS	3285	embA			arabinosyltransferase A
IJICCACA_01165	CDS	3297	embB			arabinosyltransferase B
IJICCACA_01166	CDS	1128				ribonuclease Z
IJICCACA_01167	CDS	1782	fadE35			acyl-CoA dehydrogenase FadE35
IJICCACA_01168	CDS	351	esxQ			ESAT-6 like protein EsxQ
IJICCACA_01169	CDS	630	lpqA			lipoprotein LpqA
IJICCACA_01170	CDS	1014				hypothetical protein
IJICCACA_01171	CDS	2076	ligA			DNA ligase A
IJICCACA_01172	CDS	666				hypothetical protein
IJICCACA_01173	CDS	300	gatC			glutamyl-tRNA(GLN) amidotransferase subunit C
IJICCACA_01174	CDS	1485	gatA			glutamyl-tRNA(GLN) amidotransferase subunit A
IJICCACA_01175	CDS	1032	pfkA			6-phosphofructokinase
IJICCACA_01176	CDS	1530	gatB			aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
IJICCACA_01177	CDS	570				hypothetical protein
IJICCACA_01178	CDS	579				oxidoreductase
IJICCACA_01179	CDS	1275	lppZ			lipoprotein LppZ
IJICCACA_01180	CDS	786				hypothetical protein
IJICCACA_01181	CDS	378	cfp6			low molecular weight protein antigen 6
IJICCACA_01182	CDS	1857	ilvB1			acetolactate synthase large subunit IlvB
IJICCACA_01183	CDS	507	ilvN			acetolactate synthase small subunit
IJICCACA_01184	CDS	1014	ilvC			ketol-acid reductoisomerase
IJICCACA_01185	CDS	99				hypothetical protein
IJICCACA_01186	CDS	660				transmembrane protein
IJICCACA_01187	CDS	966	lppY			lipoprotein LppY
IJICCACA_01188	CDS	303				hypothetical protein
IJICCACA_01189	CDS	462				hypothetical protein
IJICCACA_01190	CDS	1443				dehydrogenase
IJICCACA_01191	CDS	1572	serA1			D-3-phosphoglycerate dehydrogenase
IJICCACA_01192	CDS	1011	leuB			3-isopropylmalate dehydrogenase
IJICCACA_01193	CDS	1338				MFS-type transporter
IJICCACA_01194	CDS	846				2-hydroxyhepta-2,4-diene-1,7-dioate isomerase
IJICCACA_01195	CDS	1473	gltS			glutamate--tRNA ligase
IJICCACA_01196	tRNA	73				tRNA-Gln(ctg)
IJICCACA_01197	tRNA	74				tRNA-Glu(ctc)
IJICCACA_01198	CDS	492				hypothetical protein
IJICCACA_01199	CDS	861				hypothetical protein
IJICCACA_01200	CDS	702				transcriptional regulator
IJICCACA_01201	CDS	1422	leuC			3-isopropylmalate dehydratase large subunit
IJICCACA_01202	CDS	597	leuD			3-isopropylmalate dehydratase small subunit
IJICCACA_01203	CDS	645	hupB			DNA-binding protein HU
IJICCACA_01204	CDS	954	mutT1			8-oxo-dGTP diphosphatase
IJICCACA_01205	CDS	2229	ppk1			polyphosphate kinase
IJICCACA_01206	CDS	645				2-phospho-L-lactate guanylyltransferase
IJICCACA_01207	CDS	1005	gpdA2			glycerol-3-phosphate dehydrogenase
IJICCACA_01208	CDS	1077	ddlA			D-alanine--D-alanine ligase
IJICCACA_01209	CDS	576				hypothetical protein
IJICCACA_01210	CDS	585				resolvase
IJICCACA_01211	CDS	1380				transposase
IJICCACA_01212	CDS	1002	thiL			thiamine-monophosphate kinase
IJICCACA_01213	CDS	684	ung			uracil-DNA glycosylase
IJICCACA_01214	CDS	195				50S ribosomal protein L28
IJICCACA_01215	CDS	255				hypothetical protein
IJICCACA_01216	CDS	1386				putative protein
IJICCACA_01217	CDS	2214	recG			ATP-dependent DNA helicase RecG
IJICCACA_01218	CDS	714				hypothetical protein
IJICCACA_01219	CDS	849				oxidoreductase
IJICCACA_01220	CDS	1131	lipN			lipase/esterase LipN
IJICCACA_01221	CDS	768				hypothetical protein
IJICCACA_01222	CDS	588				integral membrane protein
IJICCACA_01223	CDS	3384	pca			pyruvate carboxylase
IJICCACA_01224	CDS	567				methyltransferase
IJICCACA_01225	CDS	486	kdtB			phosphopantetheine adenylyltransferase
IJICCACA_01226	CDS	186				hypothetical protein
IJICCACA_01227	CDS	933	purU			formyltetrahydrofolate deformylase
IJICCACA_01228	CDS	1221				integral membrane protein
IJICCACA_01229	CDS	1350				PGL/p-HBAD biosynthesis rhamnosyltransferase
IJICCACA_01230	CDS	390				transposase
IJICCACA_01231	CDS	738				rhamnosyl O-methyltransferase
IJICCACA_01232	CDS	1287				PGL/p-HBAD biosynthesis glycosyltransferase
IJICCACA_01233	CDS	207				hypothetical protein
IJICCACA_01234	CDS	828				PGL/p-HBAD biosynthesis glycosyltransferase
IJICCACA_01235	CDS	732				hypothetical protein
IJICCACA_01236	CDS	807				hypothetical protein
IJICCACA_01237	CDS	726	cmoB	2.5.1.-		tRNA U34 carboxymethyltransferase
IJICCACA_01238	CDS	1257				trans-acting enoyl reductase
IJICCACA_01239	CDS	813				phthiotriol/phenolphthiotriol dimycocerosates methyltransferase
IJICCACA_01240	CDS	1146				phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase
IJICCACA_01241	CDS	1860	fadD29			long-chain-fatty-acid--AMP ligase FadD29
IJICCACA_01242	CDS	600				chorismate pyruvate-lyase
IJICCACA_01243	CDS	2118	fadD22			p-hydroxybenzoyl--AMP ligase
IJICCACA_01244	CDS	1470	pks15			polyketide synthase
IJICCACA_01245	misc_RNA	75				ASpks
IJICCACA_01246	CDS	4800	pks1			polyketide synthase
IJICCACA_01247	CDS	702	lppX			lipoprotein LppX
IJICCACA_01248	CDS	612				insertion sequence element IS1533 transposase
IJICCACA_01249	CDS	1242				insertion sequence element IS1533 transposase
IJICCACA_01250	CDS	2802	mmpL7			transmembrane transport protein MmpL7
IJICCACA_01251	CDS	1863	fadD28			long-chain-fatty-acid--AMP ligase FadD28
IJICCACA_01252	CDS	6336	mas			multifunctional mycocerosic acid synthase
IJICCACA_01253	CDS	1269	papA5			phthiocerol/phthiodiolone dimycocerosyl transferase
IJICCACA_01254	CDS	831	drrC			daunorubicin ABC transporter permease DrrC
IJICCACA_01255	CDS	870	drrB			daunorubicin ABC transporter permease DrrB
IJICCACA_01256	CDS	996	drrA			daunorubicin ABC transporter ATP-binding protein DrrA
IJICCACA_01257	CDS	4467	ppsE			phthiocerol synthesis polyketide synthase type I PpsE
IJICCACA_01258	CDS	5484	ppsD			phthiocerol synthesis polyketide synthase type I PpsD
IJICCACA_01259	CDS	6567	ppsC			phthiocerol synthesis polyketide synthase type I PpsC
IJICCACA_01260	CDS	4614	ppsB			phthiocerol synthesis polyketide synthase type I PpsB
IJICCACA_01261	CDS	1614	ppsA_1			phthiocerol synthesis polyketide synthase type I PpsA
IJICCACA_01262	CDS	3882	ppsA_2			phthiocerol synthesis polyketide synthase type I PpsA
IJICCACA_01263	CDS	1752	fadD26			fatty-acid--CoA ligase FadD26
IJICCACA_01264	CDS	786	tesA			thioesterase TesA
IJICCACA_01265	CDS	738			COG3599	putative protein
IJICCACA_01266	CDS	588			COG1399	putative protein
IJICCACA_01267	CDS	723	rnc			ribonuclease III
IJICCACA_01268	CDS	870	fpg			formamidopyrimidine-DNA glycosylase
IJICCACA_01269	CDS	414			COG1765	putative protein
IJICCACA_01270	CDS	282	acyP			acylphosphatase
IJICCACA_01271	CDS	3618	smc			chromosome partition protein Smc
IJICCACA_01272	CDS	1269	ftsY			signal recognition particle receptor FtsY
IJICCACA_01273	CDS	1434	amt			ammonium transporter integral membrane protein
IJICCACA_01274	CDS	339	glnB			nitrogen regulatory protein P-II
IJICCACA_01275	CDS	2427	glnD			bifunctional uridylyltransferase/uridylyl-removing enzyme
IJICCACA_01276	CDS	1809				hypothetical protein
IJICCACA_01277	CDS	1578	ffh			signal recognition particle protein
IJICCACA_01278	CDS	1113			COG1228	putative protein
IJICCACA_01279	CDS	1758	pknI			serine/threonine-protein kinase PknI
IJICCACA_01280	CDS	1797				D-amino acid aminohydrolase
IJICCACA_01281	CDS	588				TetR family HTH-type transcriptional regulator
IJICCACA_01282	CDS	876	dacB2			penicillin-binding protein DacB2
IJICCACA_01283	CDS	420				putative protein
IJICCACA_01284	CDS	489	rpsP			30S ribosomal protein S16
IJICCACA_01285	CDS	243				hypothetical protein
IJICCACA_01286	CDS	531	rimM			16S rRNA processing protein RimM
IJICCACA_01287	CDS	693	trmD			tRNA (guanine-N1)-methyltransferase
IJICCACA_01288	CDS	945	lppW			lipoprotein LppW
IJICCACA_01289	CDS	342	rplS			50S ribosomal protein L19
IJICCACA_01290	CDS	885	lepB			signal peptidase
IJICCACA_01291	CDS	738	rnhB			ribonuclease HII
IJICCACA_01292	CDS	420				hypothetical protein
IJICCACA_01293	CDS	2340	fdhF			formate dehydrogenase subunit alpha FdhF
IJICCACA_01294	CDS	831	fdhD			formate dehydrogenase accessory protein FdhD
IJICCACA_01295	CDS	387				hypothetical protein
IJICCACA_01296	CDS	1512	comM		COG0606	Competence protein ComM
IJICCACA_01297	CDS	1170	dprA		COG0758	Putative DNA processing protein DprA
IJICCACA_01298	CDS	852	viuB			mycobactin utilization protein ViuB
IJICCACA_01299	CDS	948	xerC_1			tyrosine recombinase XerC
IJICCACA_01300	CDS	918				oxidoreductase
IJICCACA_01301	CDS	144				hypothetical protein
IJICCACA_01302	CDS	1227	PPE45			PPE family protein PPE45
IJICCACA_01303	CDS	621				hypothetical protein
IJICCACA_01304	CDS	864	rpsB			30S ribosomal protein S2
IJICCACA_01305	CDS	816	tsf			elongation factor EF-Ts
IJICCACA_01306	CDS	1422	amiC			amidase AmiC
IJICCACA_01307	CDS	420				HTH-type transcriptional regulator
IJICCACA_01308	CDS	588				resolvase
IJICCACA_01309	CDS	1380				transposase
IJICCACA_01310	CDS	702				transcriptional regulator
IJICCACA_01311	CDS	786	pyrH			uridylate kinase
IJICCACA_01312	CDS	867	PPE34			PPE family protein PPE34
IJICCACA_01313	CDS	183				hypothetical protein
IJICCACA_01314	CDS	1227	aceAb			isocitrate lyase AceAb
IJICCACA_01315	CDS	1104	aceAa			isocitrate lyase AceAa
IJICCACA_01316	CDS	408				hypothetical protein
IJICCACA_01317	CDS	213				hypothetical protein
IJICCACA_01318	CDS	1320				hypothetical protein
IJICCACA_01319	CDS	606	lppC_1			lipoprotein LppC
IJICCACA_01320	CDS	615	lppC_2			lipoprotein LppC
IJICCACA_01321	CDS	444	furA			ferric uptake regulation protein FurA
IJICCACA_01322	CDS	2223	katG			catalase-peroxidase
IJICCACA_01323	CDS	495				hypothetical protein
IJICCACA_01324	CDS	471				hypothetical protein
IJICCACA_01325	misc_RNA	212				npcTB_6715
IJICCACA_01326	CDS	936	aao			D-amino acid oxidase
IJICCACA_01327	CDS	435	rsfA_1			anti-sigma-F factor antagonist RsfA
IJICCACA_01328	CDS	405				membrane protein
IJICCACA_01329	CDS	1299	nanT			sialic acid-transport integral membrane protein NanT
IJICCACA_01330	CDS	1293	cinA			competence damage-inducible protein CinA
IJICCACA_01331	CDS	1338	lipJ			lignin peroxidase LipJ
IJICCACA_01332	CDS	105				hypothetical protein
IJICCACA_01333	CDS	516	lppD			lipoprotein LppD
IJICCACA_01334	CDS	309				hypothetical protein
IJICCACA_01335	CDS	486				D-tyrosyl-tRNA(Tyr) deacylase
IJICCACA_01336	CDS	912				S-adenosyl-L-methionine-dependent methyltransferase
IJICCACA_01337	CDS	1155				zinc-binding alcohol dehydrogenase
IJICCACA_01338	CDS	1131				monooxygenase
IJICCACA_01339	CDS	219				hypothetical protein
IJICCACA_01340	CDS	312				membrane protein
IJICCACA_01341	CDS	408				hypothetical protein
IJICCACA_01342	misc_RNA	109				AS1890
IJICCACA_01343	CDS	540				hypothetical protein
IJICCACA_01344	CDS	357				S-adenosylmethionine-dependent methyltransferase
IJICCACA_01345	CDS	174				S-adenosyl-L-methionine-dependent methyltransferase
IJICCACA_01346	CDS	561				hypothetical protein
IJICCACA_01347	CDS	1143				hypothetical protein
IJICCACA_01348	CDS	183				hypothetical protein
IJICCACA_01349	CDS	933	fbpB			diacylglycerol acyltransferase/mycolyltransferase Ag85B
IJICCACA_01350	CDS	600				chorismate mutase
IJICCACA_01351	CDS	432	rpfC			resuscitation-promoting factor RpfC
IJICCACA_01352	CDS	462				hypothetical protein
IJICCACA_01353	CDS	834				short-chain type dehydrogenase/reductase
IJICCACA_01354	CDS	423	lppE			lipoprotein LppE
IJICCACA_01355	CDS	1317	cyp140			cytochrome P450 Cyp140
IJICCACA_01356	CDS	1137				hypothetical protein
IJICCACA_01357	CDS	1362	glnA3			glutamine synthetase GlnA
IJICCACA_01358	CDS	2064				MFS-type transporter
IJICCACA_01359	CDS	480	bfrA			bacterioferritin BfrA
IJICCACA_01360	CDS	444				hypothetical protein
IJICCACA_01361	CDS	705				hypothetical protein
IJICCACA_01362	CDS	438				hypothetical protein
IJICCACA_01363	CDS	1245	lldD2			L-lactate dehydrogenase
IJICCACA_01364	CDS	378				hypothetical protein
IJICCACA_01365	CDS	615				hypothetical protein
IJICCACA_01366	CDS	1236				reductase
IJICCACA_01367	CDS	2100			COG0574	putative protein
IJICCACA_01368	CDS	1461				hypothetical protein
IJICCACA_01369	CDS	2337		2.8.3.-	COG1804	putative CoA-transferase
IJICCACA_01370	CDS	861				short-chain type dehydrogenase
IJICCACA_01371	CDS	756				hypothetical protein
IJICCACA_01372	CDS	723				integral membrane protein
IJICCACA_01373	CDS	1041	adhA			alcohol dehydrogenase A
IJICCACA_01374	CDS	306				transmembrane protein
IJICCACA_01375	CDS	978	apa			Alanine and proline-rich secreted protein Apa
IJICCACA_01376	CDS	1110	modC			molybdenum ABC transporter ATP-binding protein ModC
IJICCACA_01377	CDS	795	modB			molybdenum ABC transporter permease ModB
IJICCACA_01378	CDS	747	modA			molybdate ABC transporter substrate-binding lipoprotein ModA
IJICCACA_01379	CDS	672				oxidoreductase
IJICCACA_01380	CDS	924				oxidoreductase
IJICCACA_01381	CDS	1392	ndh			NADH dehydrogenase
IJICCACA_01382	CDS	681	ureD			urease accessory protein UreD
IJICCACA_01383	CDS	675	ureG			urease accessory protein UreG
IJICCACA_01384	CDS	636	ureF			urease accessory protein UreF
IJICCACA_01385	CDS	1734	ureC			urease subunit alpha
IJICCACA_01386	misc_RNA	295				5_ureB_sRNA
IJICCACA_01387	CDS	315	ureB			urease subunit beta
IJICCACA_01388	CDS	303	ureA			urease subunit gamma
IJICCACA_01389	CDS	423				esterase
IJICCACA_01390	CDS	417	blaI			transcriptional repressor BlaI
IJICCACA_01391	CDS	951	blaR			sensor-transducer protein BlaR
IJICCACA_01392	CDS	1458	gnd1			6-phosphogluconate dehydrogenase
IJICCACA_01393	CDS	1437	guaB1			inosine-5'-monophosphate dehydrogenase
IJICCACA_01394	CDS	1368				hypothetical protein
IJICCACA_01395	CDS	1038			COG1253	putative protein
IJICCACA_01396	CDS	1548	PE_PGRS34			PE-PGRS family protein PE_PGRS34
IJICCACA_01397	CDS	264	vapB13			antitoxin VapB13
IJICCACA_01398	CDS	396	vapC13			ribonuclease VapC13
IJICCACA_01399	CDS	2226	glcB			malate synthase
IJICCACA_01400	CDS	2034				putative protein
IJICCACA_01401	CDS	1809				serine esterase
IJICCACA_01402	CDS	765	lipZ			hydrolase
IJICCACA_01403	CDS	861				haloalkane dehalogenase
IJICCACA_01404	CDS	2826	gcvB			glycine dehydrogenase
IJICCACA_01405	misc_RNA	98				Glycine
IJICCACA_01406	CDS	633				HTH-type transcriptional regulator
IJICCACA_01407	CDS	495			COG1259	putative protein
IJICCACA_01408	CDS	744				HTH-type transcriptional regulator
IJICCACA_01409	CDS	489	garA			glycogen accumulation regulator GarA
IJICCACA_01410	CDS	405	gcvH			glycine cleavage system protein H
IJICCACA_01411	CDS	879				hypothetical protein
IJICCACA_01412	CDS	333				hypothetical protein
IJICCACA_01413	CDS	930				hypothetical protein
IJICCACA_01414	CDS	630	pgsA2			CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IJICCACA_01415	CDS	2337	secA2			accessory Sec system translocase SecA2
IJICCACA_01416	CDS	1644	ilvG			acetolactate synthase large subunit IlvG
IJICCACA_01417	CDS	1920	bacA			vitamin B12 transport ATP-binding protein BacA
IJICCACA_01418	CDS	1497	PE_PGRS33			PE-PGRS family protein PE_PGRS33
IJICCACA_01419	CDS	1464				flavoprotein
IJICCACA_01420	CDS	687				HTH-type transcriptional regulator
IJICCACA_01421	CDS	666				putative protein
IJICCACA_01422	CDS	945	erg3			membrane-bound C-5 sterol desaturase
IJICCACA_01423	CDS	432				putative protein
IJICCACA_01424	CDS	1194				dehydrogenase
IJICCACA_01425	CDS	705	mgtC			Mg2+ transport P-type ATPase MgtC
IJICCACA_01426	CDS	357				hypothetical protein
IJICCACA_01427	CDS	1476	PPE33			PPE family protein PPE33
IJICCACA_01428	CDS	1233	PPE32_2			PPE family protein PPE32
IJICCACA_01429	CDS	1212	PPE22_2			PPE family protein PPE22
IJICCACA_01430	CDS	300	PE20			PE family protein PE20
IJICCACA_01431	misc_RNA	175				ykoK
IJICCACA_01432	CDS	327				hypothetical protein
IJICCACA_01433	CDS	1953	PE_PGRS32			PE-PGRS family protein PE_PGRS32
IJICCACA_01434	CDS	1392	PPE30			PPE family protein PPE30
IJICCACA_01435	CDS	1272	PPE29			PPE family protein PPE29
IJICCACA_01436	CDS	1968	PPE28			PPE family protein PPE28
IJICCACA_01437	CDS	192	lppT			lipoprotein LppT
IJICCACA_01438	CDS	1833	eccA5			ESX-5 type VII secretion system protein EccA
IJICCACA_01439	CDS	1221	eccE5			ESX-5 type VII secretion system protein EccE
IJICCACA_01440	CDS	1758	mycP5			membrane-anchored mycosin MycP
IJICCACA_01441	CDS	1512	eccD5			ESX-5 type VII secretion system protein EccD
IJICCACA_01442	CDS	903	espG5			ESX-5 secretion-associated protein EspG5
IJICCACA_01443	CDS	285	esxN_1			ESAT-6 like protein EsxN
IJICCACA_01444	CDS	120	esxW			ESAT-6 like protein EsxW
IJICCACA_01445	CDS	177	esxJ_1			ESAT-6 like protein EsxJ
IJICCACA_01446	CDS	300	PE19			PE family protein PE19
IJICCACA_01447	CDS	1092	PPE27			PPE family protein PPE27
IJICCACA_01448	CDS	1182	PPE26			PPE family protein PPE26
IJICCACA_01449	CDS	300	PE18			PE family protein PE18
IJICCACA_01450	CDS	1116	PPE25			PPE family protein PPE25
IJICCACA_01451	CDS	204				ferredoxin
IJICCACA_01452	CDS	1182	cyp143			cytochrome P450 Cyp143
IJICCACA_01453	CDS	4176	eccC5			ESX-5 type VII secretion system protein EccC5
IJICCACA_01454	CDS	1521	eccB5			ESX-5 type VII secretion system protein EccB5
IJICCACA_01455	CDS	2184	malQ			4-alpha-glucanotransferase
IJICCACA_01456	CDS	564				hypothetical protein
IJICCACA_01457	CDS	1794				integral membrane protein
IJICCACA_01458	CDS	450				hypothetical protein
IJICCACA_01459	CDS	1215	cyp144			cytochrome P450 Cyp144
IJICCACA_01460	CDS	561				transcriptional regulator
IJICCACA_01461	CDS	819	phy	3.7.1.4		Phloretin hydrolase
IJICCACA_01462	CDS	1341				oxidoreductase
IJICCACA_01463	CDS	696				transcriptional regulator
IJICCACA_01464	CDS	285				hypothetical protein
IJICCACA_01465	CDS	1287				L-gulono-1,4-lactone dehydrogenase
IJICCACA_01466	CDS	1206				hypothetical protein
IJICCACA_01467	CDS	93				hypothetical protein
IJICCACA_01468	CDS	1203				hypothetical protein
IJICCACA_01469	CDS	1857	PE_PGRS31			PE-PGRS family protein PE_PGRS31
IJICCACA_01470	CDS	390				hypothetical protein
IJICCACA_01471	CDS	270	csoR_1			copper-sensing transcriptional repressor CsoR
IJICCACA_01472	CDS	654				hypothetical protein
IJICCACA_01473	CDS	645	lpqQ			lipoprotein LpqQ
IJICCACA_01474	CDS	414				hypothetical protein
IJICCACA_01475	CDS	747				hypothetical protein
IJICCACA_01476	CDS	1029				hypothetical protein
IJICCACA_01477	CDS	612	lpqR			lipoprotein LpqR
IJICCACA_01478	CDS	813	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
IJICCACA_01479	CDS	861	pip			proline iminopeptidase
IJICCACA_01480	CDS	1329				integral membrane protein
IJICCACA_01481	CDS	1005				dehydrogenase
IJICCACA_01482	CDS	651	narL			nitrate/nitrite response transcriptional regulator NarL
IJICCACA_01483	CDS	1278				sensor histidine kinase NarS
IJICCACA_01484	CDS	1515				oxidase
IJICCACA_01485	CDS	417	lpqS			lipoprotein LpqS
IJICCACA_01486	CDS	1215	cysK2			cysteine synthase CysK
IJICCACA_01487	CDS	1260				MFS-type transporter
IJICCACA_01488	CDS	333				hypothetical protein
IJICCACA_01489	CDS	828				short-chain type dehydrogenase/reductase
IJICCACA_01490	CDS	735				hypothetical protein
IJICCACA_01491	CDS	1683	pdc			alpha-keto-acid decarboxylase
IJICCACA_01492	CDS	444				hypothetical protein
IJICCACA_01493	CDS	1080	far_1			fatty-acid-CoA racemase
IJICCACA_01494	CDS	405				hypothetical protein
IJICCACA_01495	CDS	474				hypothetical protein
IJICCACA_01496	CDS	1194	dapC			N-succinyldiaminopimelate aminotransferase DapC
IJICCACA_01497	CDS	1212				acyltransferase
IJICCACA_01498	CDS	2163	fadB			fatty oxidation protein FadB
IJICCACA_01499	CDS	1650	ercc3			DNA helicase Ercc3
IJICCACA_01500	CDS	2271				hypothetical protein
IJICCACA_01501	CDS	234				hypothetical protein
IJICCACA_01502	CDS	504	moaC2			cyclic pyranopterin monophosphate synthase accessory protein
IJICCACA_01503	CDS	483	mog			molybdopterin biosynthesis protein
IJICCACA_01504	CDS	426	moaE2			molybdopterin synthase catalytic subunit 2
IJICCACA_01505	CDS	1104	rpfA			resuscitation-promoting factor RpfA
IJICCACA_01506	misc_RNA	223				ydaO-yuaA
IJICCACA_01507	CDS	279	moaD2			cyclic pyranopterin monophosphate synthase
IJICCACA_01508	CDS	1083	moaA2			molybdenum cofactor biosynthesis protein MoaA
IJICCACA_01509	CDS	390				integral membrane protein
IJICCACA_01510	CDS	408	cspB			cold shock-like protein CspB
IJICCACA_01511	CDS	1821	PE_PGRS15			PE-PGRS family protein PE_PGRS15
IJICCACA_01512	CDS	1953	fadE10			acyl-CoA dehydrogenase
IJICCACA_01513	CDS	1161			COG4398	putative protein
IJICCACA_01514	CDS	489				putative protein
IJICCACA_01515	CDS	1533				transmembrane protein
IJICCACA_01516	CDS	789				putative protein
IJICCACA_01517	CDS	1332	PPE13			PPE family protein PPE13
IJICCACA_01518	CDS	276				transmembrane protein
IJICCACA_01519	CDS	432				HTH-type transcriptional regulator
IJICCACA_01520	CDS	867				tRNA/rRNA methyltransferase
IJICCACA_01521	CDS	285				transmembrane protein
IJICCACA_01522	CDS	762				putative protein
IJICCACA_01523	CDS	1131	serC			phosphoserine aminotransferase
IJICCACA_01524	CDS	1023				putative protein
IJICCACA_01525	CDS	1728	fprB			ferredoxin/ferredoxin--NADP reductase
IJICCACA_01526	CDS	459			COG2764	putative protein
IJICCACA_01527	CDS	150				hypothetical protein
IJICCACA_01528	CDS	1473	spmT	3.1.4.12		Sphingomyelinase
IJICCACA_01529	CDS	1122	citA			citrate synthase 2
IJICCACA_01530	CDS	2649				HTH-type transcriptional regulator
IJICCACA_01531	CDS	615				transcriptional regulator
