# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Rv0433	Rv0433	Rv0433	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0434	Rv0434	Rv0434	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0435c	Rv0435c	Rv0435c	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
Rv0439c	Rv0439c	Rv0439c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0441c	Rv0441c	Rv0441c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0449c	Rv0449c	Rv0449c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0452	Rv0452	Rv0452	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0454	Rv0454	Rv0454	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0455c	Rv0455c	Rv0455c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0457c	Rv0457c	Rv0457c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0458	Rv0458	Rv0458	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0459	Rv0459	Rv0459	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0460	Rv0460	Rv0460	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0461	Rv0461	Rv0461	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0463	Rv0463	Rv0463	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0464c	Rv0464c	Rv0464c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0465c	Rv0465c	Rv0465c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0481c	Rv0481c	Rv0481c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0484c	Rv0484c	Rv0484c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0485	Rv0485	Rv0485	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
Rv0487	Rv0487	Rv0487	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0488	Rv0488	Rv0488	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0492A	Rv0492A	Rv0492A	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0492c	Rv0492c	Rv0492c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0493c	Rv0493c	Rv0493c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0494	Rv0494	Rv0494	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0
Rv0495c	Rv0495c	Rv0495c	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
Rv0496	Rv0496	Rv0496	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0497	Rv0497	Rv0497	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0498	Rv0498	Rv0498	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0499	Rv0499	Rv0499	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0500A	Rv0500A	Rv0500A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0500B	Rv0500B	Rv0500B	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0502	Rv0502	Rv0502	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0504c	Rv0504c	Rv0504c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0508	Rv0508	Rv0508	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0523c	Rv0523c	Rv0523c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0525	Rv0525	Rv0525	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0526	Rv0526	Rv0526	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0528	Rv0528	Rv0528	protein_coding	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0
Rv0530	Rv0530	Rv0530	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0530A	Rv0530A	Rv0530A	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0531	Rv0531	Rv0531	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0537c	Rv0537c	Rv0537c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0538	Rv0538	Rv0538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0539	Rv0539	Rv0539	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0540	Rv0540	Rv0540	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0541c	Rv0541c	Rv0541c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0543c	Rv0543c	Rv0543c	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Rv0544c	Rv0544c	Rv0544c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0546c	Rv0546c	Rv0546c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0547c	Rv0547c	Rv0547c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0571c	Rv0571c	Rv0571c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0572c	Rv0572c	Rv0572c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0574c	Rv0574c	Rv0574c	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2
Rv0575c	Rv0575c	Rv0575c	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0576	Rv0576	Rv0576	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0579	Rv0579	Rv0579	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0580c	Rv0580c	Rv0580c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0590A	Rv0590A	Rv0590A	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0597c	Rv0597c	Rv0597c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0600c	Rv0600c	Rv0600c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0601c	Rv0601c	Rv0601c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0605	Rv0605	Rv0605	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0606	Rv0606	Rv0606	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0607	Rv0607	Rv0607	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0609A	Rv0609A	Rv0609A	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0610c	Rv0610c	Rv0610c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0611c	Rv0611c	Rv0611c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0612	Rv0612	Rv0612	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
Rv0613c	Rv0613c	Rv0613c	protein_coding	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1
Rv0614	Rv0614	Rv0614	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0615	Rv0615	Rv0615	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0616c	Rv0616c	Rv0616c	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0621	Rv0621	Rv0621	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0622	Rv0622	Rv0622	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0625c	Rv0625c	Rv0625c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0628c	Rv0628c	Rv0628c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0669c	Rv0669c	Rv0669c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0678	Rv0678	Rv0678	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0679c	Rv0679c	Rv0679c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0680c	Rv0680c	Rv0680c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0681	Rv0681	Rv0681	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0686	Rv0686	Rv0686	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0712	Rv0712	Rv0712	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0713	Rv0713	Rv0713	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0724A	Rv0724A	Rv0724A	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0725c	Rv0725c	Rv0725c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0726c	Rv0726c	Rv0726c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0730	Rv0730	Rv0730	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0731c	Rv0731c	Rv0731c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0739	Rv0739	Rv0739	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0
Rv0740	Rv0740	Rv0740	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
Rv0741	Rv0741	Rv0741	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0
Rv0743c	Rv0743c	Rv0743c	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13
Rv0744c	Rv0744c	Rv0744c	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13
Rv0745	Rv0745	Rv0745	protein_coding	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0
Rv0749A	Rv0749A	Rv0749A	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
Rv0750	Rv0750	Rv0750	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8
Rv0810c	Rv0810c	Rv0810c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0811c	Rv0811c	Rv0811c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0812	Rv0812	Rv0812	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0813c	Rv0813c	Rv0813c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0817c	Rv0817c	Rv0817c	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0818	Rv0818	Rv0818	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0822c	Rv0822c	Rv0822c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0823c	Rv0823c	Rv0823c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0830	Rv0830	Rv0830	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0831c	Rv0831c	Rv0831c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0846c	Rv0846c	Rv0846c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0849	Rv0849	Rv0849	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0850	Rv0850	Rv0850	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0851c	Rv0851c	Rv0851c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0854	Rv0854	Rv0854	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0856	Rv0856	Rv0856	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0857	Rv0857	Rv0857	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0862c	Rv0862c	Rv0862c	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
Rv0863	Rv0863	Rv0863	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0870c	Rv0870c	Rv0870c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0874c	Rv0874c	Rv0874c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0875c	Rv0875c	Rv0875c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0876c	Rv0876c	Rv0876c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0877	Rv0877	Rv0877	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Rv0879c	Rv0879c	Rv0879c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0880	Rv0880	Rv0880	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0881	Rv0881	Rv0881	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0882	Rv0882	Rv0882	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0883c	Rv0883c	Rv0883c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0885	Rv0885	Rv0885	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0887c	Rv0887c	Rv0887c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0888	Rv0888	Rv0888	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0890c	Rv0890c	Rv0890c	protein_coding	0	1	1	2	0	0	0	1	0	1	0	0	0	1	1
Rv0891c	Rv0891c	Rv0891c	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
Rv0892	Rv0892	Rv0892	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2
Rv0893c	Rv0893c	Rv0893c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0894	Rv0894	Rv0894	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0895	Rv0895	Rv0895	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0897c	Rv0897c	Rv0897c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0898c	Rv0898c	Rv0898c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0900	Rv0900	Rv0900	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0901	Rv0901	Rv0901	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0906	Rv0906	Rv0906	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0907	Rv0907	Rv0907	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1
Rv0909	Rv0909	Rv0909	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0910	Rv0910	Rv0910	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0918	Rv0918	Rv0918	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0919	Rv0919	Rv0919	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Rv0920c	Rv0920c	Rv0920c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0921	Rv0921	Rv0921	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0922	Rv0922	Rv0922	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0923c	Rv0923c	Rv0923c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0925c	Rv0925c	Rv0925c	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv0926c	Rv0926c	Rv0926c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0927c	Rv0927c	Rv0927c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv0939	Rv0939	Rv0939	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0945	Rv0945	Rv0945	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0947c	Rv0947c	Rv0947c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0948c	Rv0948c	Rv0948c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0950c	Rv0950c	Rv0950c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0953c	Rv0953c	Rv0953c	protein_coding	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2
Rv0954	Rv0954	Rv0954	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv0955	Rv0955	Rv0955	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Rv0958	Rv0958	Rv0958	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0959	Rv0959	Rv0959	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv0976c	Rv0976c	Rv0976c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv0979c	Rv0979c	Rv0979c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv0999	Rv0999	Rv0999	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1000c	Rv1000c	Rv1000c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1002c	Rv1002c	Rv1002c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1003	Rv1003	Rv1003	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Rv1004c	Rv1004c	Rv1004c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1006	Rv1006	Rv1006	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1012	Rv1012	Rv1012	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv1019	Rv1019	Rv1019	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1021	Rv1021	Rv1021	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Rv1024	Rv1024	Rv1024	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1025	Rv1025	Rv1025	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1026	Rv1026	Rv1026	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1034c	Rv1034c	Rv1034c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1035c	Rv1035c	Rv1035c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1036c	Rv1036c	Rv1036c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1041c	Rv1041c	Rv1041c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1042c	Rv1042c	Rv1042c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1043c	Rv1043c	Rv1043c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1044	Rv1044	Rv1044	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1045	Rv1045	Rv1045	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1046c	Rv1046c	Rv1046c	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Rv1047	Rv1047	Rv1047	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1048c	Rv1048c	Rv1048c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1049	Rv1049	Rv1049	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv1050	Rv1050	Rv1050	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv1051c	Rv1051c	Rv1051c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1052	Rv1052	Rv1052	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1053c	Rv1053c	Rv1053c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1054	Rv1054	Rv1054	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1055	Rv1055	Rv1055	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv1056	Rv1056	Rv1056	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1057	Rv1057	Rv1057	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1069c	Rv1069c	Rv1069c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1072	Rv1072	Rv1072	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1073	Rv1073	Rv1073	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1075c	Rv1075c	Rv1075c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1081c	Rv1081c	Rv1081c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv1083	Rv1083	Rv1083	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv1084	Rv1084	Rv1084	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
Rv1085c	Rv1085c	Rv1085c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1086	Rv1086	Rv1086	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1106c	Rv1106c	Rv1106c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1109c	Rv1109c	Rv1109c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1111c	Rv1111c	Rv1111c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1112	Rv1112	Rv1112	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Rv1115	Rv1115	Rv1115	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1116	Rv1116	Rv1116	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1116A	Rv1116A	Rv1116A	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1117	Rv1117	Rv1117	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1118c	Rv1118c	Rv1118c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1119c	Rv1119c	Rv1119c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1120c	Rv1120c	Rv1120c	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
Rv1125	Rv1125	Rv1125	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Rv1126c	Rv1126c	Rv1126c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1128c	Rv1128c	Rv1128c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1129c	Rv1129c	Rv1129c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1167c	Rv1167c	Rv1167c	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
Rv1171	Rv1171	Rv1171	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1176c	Rv1176c	Rv1176c	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Rv1178	Rv1178	Rv1178	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
Rv1179c	Rv1179c	Rv1179c	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
Rv1225c	Rv1225c	Rv1225c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1226c	Rv1226c	Rv1226c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1227c	Rv1227c	Rv1227c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1230c	Rv1230c	Rv1230c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1231c	Rv1231c	Rv1231c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1232c	Rv1232c	Rv1232c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1233c	Rv1233c	Rv1233c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1248c	Rv1248c	Rv1248c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1249c	Rv1249c	Rv1249c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1250	Rv1250	Rv1250	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1251c	Rv1251c	Rv1251c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1260	Rv1260	Rv1260	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1261c	Rv1261c	Rv1261c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1262c	Rv1262c	Rv1262c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1264	Rv1264	Rv1264	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1265	Rv1265	Rv1265	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1268c	Rv1268c	Rv1268c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1269c	Rv1269c	Rv1269c	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Rv1287	Rv1287	Rv1287	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Rv1288	Rv1288	Rv1288	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
