name	taxonomy_id	taxonomy_lvl	CD_7_long.bracken_S1.txt_num	CD_7_long.bracken_S1.txt_frac	CD_7_short.bracken_S1.txt_num	CD_7_short.bracken_S1.txt_frac	TD_31_long.bracken_S1.txt_num	TD_31_long.bracken_S1.txt_frac	TD_31_short.bracken_S1.txt_num	TD_31_short.bracken_S1.txt_frac	TD_92_long.bracken_S1.txt_num	TD_92_long.bracken_S1.txt_frac	TD_92_short.bracken_S1.txt_num	TD_92_short.bracken_S1.txt_frac
Methanotorris igneus Kol 5	880724	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	323	0.00024
Thermococcus litoralis DSM 5473	523849	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00001
Pyrobaculum aerophilum str. IM2	178306	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00001
Caldivirga maquilingensis IC-167	397948	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00001
Thermogladius calderae 1633	1184251	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00001
Caldisphaera lagunensis DSM 15908	1056495	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	62	0.00005
Nitrosopumilus maritimus SCM1	436308	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	90	0.00007
Candidatus Nitrososphaera evergladensis SR1	1459636	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	91	0.00007
Thermoplasma volcanium GSS1	273116	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	41	0.00003
Ferroplasma acidarmanus Fer1	333146	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00002
Aciduliprofundum boonei T469	439481	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1110	0.00083
uncultured phage cr52_1	2772079	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00003
uncultured phage cr82_1	2986416	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	31	0.00002
Escherichia phage phiV10	343516	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	299	0.00022
Escherichia phage Cartapus	2904709	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	84	0.00006
Klebsiella phage 4LV2017	1960658	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00002
Escherichia phage 500465-1	2716351	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	73	0.00005
Escherichia phage ev207	2847062	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	573	0.00043
Escherichia phage ev017	2847060	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	414	0.00031
Enterobacteria phage HK620	155148	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	70	0.00005
Enterobacteria phage 2851	254397	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	286	0.00021
Escherichia phage ev243	2847063	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	136	0.00010
Escherichia phage JLK-2012	1147722	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	100	0.00007
Escherichia phage 4A7	2847059	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	150	0.00011
Escherichia phage 2B8	2847056	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	48	0.00004
Mycobacterium phage Phrappuccino	2591223	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00002
Salmonella phage SPN3US	1090134	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00002
Enterobacteria phage JenP1	1610837	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00002
Escherichia phage HK75	906668	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	34	0.00003
Clostridium phage CDKM9	1868594	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	129	0.00010
Serratia phage Parlo	2557554	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00001
Escherichia phage vB_EcoM_WFC	2508193	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00001
Kundal virus	2290890	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00003
Lentinula edodes negative-strand RNA virus 2	2547431	S1	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00001
